"641","Cueva de la Cocina","","1941","3","Zona D","Triangle","Si","0.22","0.89","Abrupte","Abrupte","Directa","Directa"
"642","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.25","0.57","Abrupte","Abrupte","Directa","Directa"
"643","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.2","0.67","Abrupte","Abrupte","Directa","Directa"
"645","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.18","0.63","Abrupte","Abrupte","Directa","Directa"
"647","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.19","0.61","Abrupte","Abrupte","Directa","Directa"
"650","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.25","0.57","Abrupte","Abrupte","Directa","Directa"
"651","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.19","0.46","Abrupte","Abrupte","Directa","Directa"
"652","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.22","0.67","Abrupte","Abrupte","Directa","Directa"
"653","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.26","0.87","Abrupte","Abrupte","Directa","Directa"
"658","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.17","0.77","Abrupte","Abrupte","Directa","Directa"
"659","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.21","0.42","Semiabrupte","Semiabrupte","Directa","Directa"
"663","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.22","0.53","Abrupte","Abrupte","Directa","Directa"
"665","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.15","0.89","Abrupte","Abrupte","Directa","Directa"
"674","Cueva de la Cocina","","1941","3","Zona D","Trapezi","No","0.18","0.67","Abrupte","Abrupte","Directa","Directa"
"676","Cueva de la Cocina","","1941","3","Zona D","Triangle","No","0.34","0.67","Abrupte","Abrupte","Directa","Directa"
"683","Cueva de la Cocina","","1941","4","Principal","Trapezi","No","0.14","0.87","Abrupte","Abrupte","Directa","Directa"
"684","Cueva de la Cocina","","1941","4","Principal","Trapezi","No","0.27","0.63","Abrupte","Abrupte","Directa","Directa"
"685","Cueva de la Cocina","","1941","4","Principal","Trapezi","No","0.17","0.73","Abrupte","Abrupte","Directa","Directa"
"686","Cueva de la Cocina","","1941","4","Principal","Trapezi","No","0.18","0.5","Abrupte","Abrupte","Directa","Directa"
"687","Cueva de la Cocina","","1941","4","Principal","Trapezi","Si","0.13","0.61","Abrupte","Abrupte","Directa","Directa"
"693","Cueva de la Cocina","","1941","4","Principal","Triangle","No","0.21","0.84","Abrupte","Abrupte","Directa","Directa"
"694","Cueva de la Cocina","","1941","4","Principal","Triangle","No","0.2","0.58","Abrupte","Abrupte","Directa","Directa"
"695","Cueva de la Cocina","","1941","4","Principal","Triangle","No","0.2","0.61","Abrupte","Abrupte","Directa","Directa"
"696","Cueva de la Cocina","","1941","4","Principal","Triangle","No","0.15","0.66","Abrupte","Abrupte","Directa","Directa"
"697","Cueva de la Cocina","","1941","4","Principal","Triangle","No","0.26","0.94","Abrupte","Abrupte","Directa","Directa"
